kÛd obce;n·zev obce;voliËi v seznamu;vydanÈ ob·lky;platnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
598305;SvÈmyslice;289;214;213;50;0;0;12;0;17;9;1;0;1;0;1;27;0;0;29;41;0;0;2;0;3;0;3;16;1
538442;LÌbeznice;1763;1245;1235;431;0;0;41;0;63;50;19;1;24;1;1;157;0;1;72;258;0;0;20;0;6;1;0;86;3
538108;Br·zdim;533;374;373;49;0;0;15;1;23;26;4;4;5;0;0;64;0;0;17;111;0;0;8;0;4;2;1;36;3
538876;äestajovice;2479;1832;1827;448;2;4;73;1;151;36;21;4;36;0;2;254;0;1;210;385;1;1;44;1;17;3;3;126;3
538221;Horouöany;934;676;669;87;1;1;37;1;44;27;10;6;10;3;1;130;0;0;61;157;0;2;18;0;3;0;0;68;2
598267;Modletice;356;219;219;30;0;0;4;0;28;13;4;2;2;0;0;40;0;1;25;52;0;0;3;0;2;0;0;13;0
538833;Sulice;1325;1031;1019;226;1;0;34;0;67;37;17;6;16;1;1;155;0;4;100;257;1;0;16;0;10;1;0;68;1
571954;Sudovo Hlavno;393;239;239;38;0;0;13;0;20;13;2;1;1;2;0;23;0;0;11;81;0;0;7;1;1;1;2;22;0
533904;Vyûlovka;503;376;375;65;2;0;5;0;36;13;7;3;2;2;3;48;1;1;36;102;3;0;10;0;0;0;1;34;1
538477;MÏöice;1405;944;933;216;0;0;44;1;43;40;9;5;10;2;2;142;0;2;88;236;0;1;16;1;8;2;1;64;0
538086;Bo¯anovice;627;440;440;110;1;0;23;0;18;36;4;5;6;0;1;63;0;0;26;103;1;1;4;0;4;0;1;32;1
538281;KaliötÏ;219;145;144;20;0;1;7;0;10;4;3;0;3;0;0;20;0;0;9;48;0;0;2;0;1;0;0;16;0
565989;Hlavenec;266;198;197;30;0;0;8;1;8;7;2;7;2;1;0;31;1;0;20;71;0;0;0;0;1;1;0;6;0
534960;K¯enek;213;134;134;26;3;0;11;0;5;5;0;1;3;1;0;13;0;0;12;27;0;0;8;0;1;0;0;18;0
538787;Sluötice;376;260;257;39;5;0;15;0;12;13;3;2;4;0;2;44;0;0;16;76;0;0;2;0;3;0;1;17;3
538311;Klecany;2453;1617;1609;253;0;1;57;0;157;78;30;8;31;1;3;313;1;2;143;325;1;5;60;0;18;1;2;115;4
538523;Muka¯ov;1736;1279;1265;231;6;2;60;3;145;55;27;8;26;1;2;151;0;0;119;284;1;3;34;0;7;0;3;96;1
538612;Pet¯Ìkov;412;285;284;53;0;0;18;0;29;19;6;1;3;0;0;45;0;0;12;69;0;1;9;1;3;1;2;12;0
538621;Podolanka;431;287;286;32;0;0;12;1;17;17;4;3;4;0;1;39;1;0;12;100;0;2;8;5;0;0;0;28;0
538141;»estlice;497;360;360;58;1;0;17;0;23;9;6;6;7;0;0;49;1;0;31;110;1;2;12;0;4;0;0;23;0
538051;Baöù;1409;966;961;212;4;0;39;3;61;40;17;4;22;0;1;139;0;2;84;239;1;2;16;1;5;0;2;66;1
533874;VlkanËice;172;120;119;20;0;0;6;0;16;7;1;2;3;0;0;11;0;0;9;32;0;0;2;0;2;0;1;7;0
538957;⁄valy;4788;3386;3370;579;3;4;201;2;330;124;50;14;64;6;4;528;2;3;341;736;0;1;148;1;21;6;2;190;10
538841;SvÏtice;892;677;662;103;0;0;31;0;57;27;9;6;14;0;2;99;1;1;86;137;0;0;27;0;4;1;1;55;1
505781;Z·py;579;376;375;61;3;0;28;2;26;23;4;3;6;1;0;50;0;1;21;100;0;0;10;0;5;0;0;29;2
538574;Odolena Voda;4373;2875;2851;369;7;1;199;2;178;194;56;31;41;1;4;468;3;3;207;711;0;8;88;2;27;13;3;217;18
564869;B¯ezÌ;375;241;241;37;1;0;8;0;14;6;3;3;6;0;1;33;0;0;29;71;0;0;14;0;6;1;0;8;0
538132;»el·kovice;9011;6016;5977;1044;56;3;359;5;326;337;82;42;86;10;5;903;0;4;466;1485;2;8;197;1;41;4;16;486;9
